date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:53	15449/15449	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:53%20GMT	https://hernehillfestival.org/programme	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme.html	(from https://hernehillfestival.org/home)
18:43:53	5583/5583	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:53%20GMT	https://hernehillfestival.org/excellence	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/excellence.html	(from https://hernehillfestival.org/home)
18:43:53	7147/7147	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:53%20GMT	https://hernehillfestival.org/sponsors	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/sponsors.html	(from https://hernehillfestival.org/home)
18:43:54	8313/8313	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:54%20GMT	https://hernehillfestival.org/contact	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/contact.html	(from https://hernehillfestival.org/home)
18:43:54	100/100	---M-Z	200	added ('OK')	text/css	etag:%2264-633b0472425cd-gzip%22	https://hernehillfestival.org/css/Vars.css	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/Vars.css	(from https://hernehillfestival.org/hhmf.css)
18:43:54	929/929	---M-Z	200	added ('OK')	text/css	etag:%223a1-633b0473ba577-gzip%22	https://hernehillfestival.org/css/StructuredData/Navigation/Breadcrumbs.css	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/StructuredData/Navigation/Breadcrumbs.css	(from https://hernehillfestival.org/css/Layout/Wrappers/_StandardWrapper.css?date=20260526)
18:43:55	77366/77366	---M--	200	added ('OK')	image/png	etag:%2212e36-589003123fa40%22	https://hernehillfestival.org/images/social_media/facebook.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/social_media/facebook.png	(from https://hernehillfestival.org/css/Layout/Header.css?date=20260526)
18:43:55	8364/8364	---M--	200	added ('OK')	image/png	etag:%2220ac-589003123fa40%22	https://hernehillfestival.org/images/social_media/twitter.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/social_media/twitter.png	(from https://hernehillfestival.org/css/Layout/Header.css?date=20260526)
18:43:56	65413/65413	---M--	200	added ('OK')	image/png	etag:%22ff85-5890031333c80%22	https://hernehillfestival.org/images/social_media/instagram.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/social_media/instagram.png	(from https://hernehillfestival.org/css/Layout/Header.css?date=20260526)
18:43:56	570/570	---M--	200	added ('OK')	image/svg+xml	etag:%2223a-5890031333c80%22	https://hernehillfestival.org/images/svg/menu_taper.svg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/svg/menu_taper.svg	(from https://hernehillfestival.org/css/Layout/Header.css?date=20260526)
18:43:57	455/455	---M-Z	200	added ('OK')	text/css	etag:%221c7-633afb778aa7d-gzip%22	https://hernehillfestival.org/css/custom-pages/Archive.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/custom-pages/Archiveb117.css	(from https://hernehillfestival.org/archive)
18:43:57	15859/15859	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:57%20GMT	https://hernehillfestival.org/archive/2025	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/archive/2025.html	(from https://hernehillfestival.org/archive)
18:43:57	14935/14935	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:57%20GMT	https://hernehillfestival.org/archive/2024	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/archive/2024.html	(from https://hernehillfestival.org/archive)
18:43:58	1252/1252	---M-Z	200	added ('OK')	text/css	etag:%224e4-62443da7fca23-gzip%22	https://hernehillfestival.org/css/boxes.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/boxesb117.css	(from https://hernehillfestival.org/programme)
18:43:58	626/626	---M-Z	200	added ('OK')	text/css	etag:%22272-633acc642a184-gzip%22	https://hernehillfestival.org/css/custom-pages/Programme.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/custom-pages/Programmeb117.css	(from https://hernehillfestival.org/programme)
18:43:59	1814/1814	---M-Z	200	added ('OK')	text/javascript	etag:%22716-633acc6e4bdc9-gzip%22	https://hernehillfestival.org/js/HHMF/Modules/ProgrammeFilter.js	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/js/HHMF/Modules/ProgrammeFilter.js	(from https://hernehillfestival.org/programme)
18:43:59	18840/18840	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:59%20GMT	https://hernehillfestival.org/programme/2025-09-14/details/254-Brockfest	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-09-14/details/254-Brockfest.html	(from https://hernehillfestival.org/programme)
18:44:02	425150/425150	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/816/Brockfest+SQ2.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/816/Brockfest%20SQ2.jpg	(from https://hernehillfestival.org/programme)
18:44:02	19541/19541	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:02%20GMT	https://hernehillfestival.org/programme/2025-10-10/details/236-Nel+Begley+-+Friends	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-10/details/236-Nel+Begley+-+Friends.html	(from https://hernehillfestival.org/programme)
18:44:04	15874/15874	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:04%20GMT	https://hernehillfestival.org/programme/2025-10-11/details/238-Forest+Hill+Chamber+Collective+-+Nigel+Grice+Jazz+Collective	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-11/details/238-Forest+Hill+Chamber+Collective+-+Nigel+Grice+Jazz+Collective.html	(from https://hernehillfestival.org/programme)
18:44:05	6779843/6779843	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/767/Nel+Begley+Image.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/767/Nel%20Begley%20Image.jpg	(from https://hernehillfestival.org/programme)
18:44:07	223827/223827	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/804/Ronan+Quintet.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/804/Ronan%20Quintet.jpg	(from https://hernehillfestival.org/programme)
18:44:07	12959/12959	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:07%20GMT	https://hernehillfestival.org/programme/2025-10-11/details/252-Whippersnappers	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-11/details/252-Whippersnappers.html	(from https://hernehillfestival.org/programme)
18:44:10	80576/80576	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/789/WhippersnappersAnancy.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/789/WhippersnappersAnancy.jpg	(from https://hernehillfestival.org/programme)
18:44:10	20056/20056	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:10%20GMT	https://hernehillfestival.org/programme/2025-10-11/details/239-Herne+Hill+Sings+On	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-11/details/239-Herne+Hill+Sings+On.html	(from https://hernehillfestival.org/programme)
18:44:12	231983/231983	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/801/Peckham+Rye+Sings+small.jpeg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/801/Peckham%20Rye%20Sings%20small.jpeg	(from https://hernehillfestival.org/programme)
18:44:13	15638/15638	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:13%20GMT	https://hernehillfestival.org/programme/2025-10-11/details/237-Matt+Kent+-+Olivia+Lester	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-11/details/237-Matt+Kent+-+Olivia+Lester.html	(from https://hernehillfestival.org/programme)
18:44:15	436828/436828	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/782/brightened+face+yahmaha.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/782/brightened%20face%20yahmaha.jpg	(from https://hernehillfestival.org/programme)
18:44:15	13948/13948	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:15%20GMT	https://hernehillfestival.org/programme/2025-10-12/details/240-South+East+London+Folk+Orchestra+-SELFolk-	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-12/details/240-South+East+London+Folk+Orchestra+-SELFolk-.html	(from https://hernehillfestival.org/programme)
18:44:16	116417/116417	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/529/SELFOrchestra.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/529/SELFOrchestra.jpg	(from https://hernehillfestival.org/programme)
18:44:16	15519/15519	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:16%20GMT	https://hernehillfestival.org/programme/2025-10-12/details/199-Misty+-+Rufus+Miller	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-12/details/199-Misty+-+Rufus+Miller.html	(from https://hernehillfestival.org/programme)
18:44:18	226306/226306	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/805/MISTY%3ARUFUS+small.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/805/MISTY_RUFUS%20small.jpg	(from https://hernehillfestival.org/programme)
18:44:18	12574/12574	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:18%20GMT	https://hernehillfestival.org/programme/2025-10-12/details/247-Festival+Choral+Evensong+Sunday	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-12/details/247-Festival+Choral+Evensong+Sunday.html	(from https://hernehillfestival.org/programme)
18:44:19	22244/22244	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/489/St+Pauls+2018.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/489/St%20Pauls%202018.jpg	(from https://hernehillfestival.org/programme)
18:44:19	15299/15299	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:19%20GMT	https://hernehillfestival.org/programme/2025-10-13/details/248-Quantum+Gong+Bath+Meditation+with+Alicia+M-+Ri+Atu+M-	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-13/details/248-Quantum+Gong+Bath+Meditation+with+Alicia+M-+Ri+Atu+M-.html	(from https://hernehillfestival.org/programme)
18:44:23	284238/284238	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/783/ALICIA+SOUNDBATH.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/783/ALICIA%20SOUNDBATH.jpg	(from https://hernehillfestival.org/programme)
18:44:23	13085/13085	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:23%20GMT	https://hernehillfestival.org/programme/2025-10-13/details/242-Heads+Up+Jazz+Jam	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-13/details/242-Heads+Up+Jazz+Jam.html	(from https://hernehillfestival.org/programme)
18:44:27	723822/723822	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/660/Jazz+Jam+22+small.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/660/Jazz%20Jam%2022%20small.jpg	(from https://hernehillfestival.org/programme)
18:44:27	18440/18440	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:27%20GMT	https://hernehillfestival.org/programme/2025-10-14/details/224-Adam+Beattie	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-14/details/224-Adam+Beattie.html	(from https://hernehillfestival.org/programme)
18:44:28	178043/178043	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/773/ADAMBEATTIE.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/773/ADAMBEATTIE.jpg	(from https://hernehillfestival.org/programme)
18:44:28	16270/16270	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:28%20GMT	https://hernehillfestival.org/programme/2025-10-15/details/243-Dance+Class+-+Fabulous+Honeys+Swing+Band	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-15/details/243-Dance+Class+-+Fabulous+Honeys+Swing+Band.html	(from https://hernehillfestival.org/programme)
18:44:35	274733/274733	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/786/Fab+Honeys1.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/786/Fab%20Honeys1.jpg	(from https://hernehillfestival.org/programme)
18:44:35	14488/14488	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:35%20GMT	https://hernehillfestival.org/programme/2025-10-16/details/249-iyatra+Quartet	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-16/details/249-iyatra+Quartet.html	(from https://hernehillfestival.org/programme)
18:44:39	17481/17481	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:39%20GMT	https://hernehillfestival.org/programme/2025-10-17/details/244-Creature+-+Machine+Presents-	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-17/details/244-Creature+-+Machine+Presents-.html	(from https://hernehillfestival.org/programme)
18:44:40	14605/14605	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:40%20GMT	https://hernehillfestival.org/programme/2025-10-18/details/253-The+Last+of+the+Boggarts	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-18/details/253-The+Last+of+the+Boggarts.html	(from https://hernehillfestival.org/programme)
18:44:40	473134/473134	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/834/C%26M+HHMF+poster.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/834/C&M%20HHMF%20poster.jpg	(from https://hernehillfestival.org/programme)
18:44:40	13138945/13138945	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/610/iyatra+Quartet.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/610/iyatra%20Quartet.jpg	(from https://hernehillfestival.org/programme)
18:44:46	984531/984531	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/835/Boggart+HHMF.jpeg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/835/Boggart%20HHMF.jpeg	(from https://hernehillfestival.org/programme)
18:44:46	21883/21883	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:46%20GMT	https://hernehillfestival.org/programme/2025-10-18/details/251-Music+For+Housing	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-18/details/251-Music+For+Housing.html	(from https://hernehillfestival.org/programme)
18:44:52	657499/657499	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/807/MUSIC+FOR+HOUSING+twin+master+clean.jpg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/807/MUSIC%20FOR%20HOUSING%20twin%20master%20clean.jpg	(from https://hernehillfestival.org/programme)
18:44:52	15095/15095	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:52%20GMT	https://hernehillfestival.org/programme/2025-10-19/details/246-Mazaika	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-19/details/246-Mazaika.html	(from https://hernehillfestival.org/programme)
18:44:57	14472/14472	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:44:57%20GMT	https://hernehillfestival.org/programme/2025-10-19/details/245-The+Southwark+Sinfonietta	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme/2025-10-19/details/245-The+Southwark+Sinfonietta.html	(from https://hernehillfestival.org/programme)
18:44:57	917033/917033	---MC-	200	added ('OK')	image/jpeg	etag:%22d086a3cc4709c0f2af322eb14bede6c3%22	https://hernehillfestival.org/images/781/Mazaika+image0.jpeg	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/781/Mazaika%20image0.jpeg	(from https://hernehillfestival.org/programme)
